id_hogar,tipo_vivienda,material_externo,material_pisos,material_techos,habitaciones,lic_contruccion,asist_construccion,precio_alq,titulo_prop,agua_potable,calidad_agua,nivel_cloro_agua,acceso_agua,horas_agua,dias_agua,horas_agua_parcial
20875,1,7,5,4,1.0,2,2,80.0,3,1,1,0.8,1,24.0,3.75,9.578947368421053
40916,1,7,5,4,3.0,2,2,100.0,2,1,3,0.0,1,20.88481375358166,3.75,9.578947368421053
23048,1,1,5,1,3.0,2,2,500.0,1,1,9,0.5158434,1,24.0,3.75,9.578947368421053
23684,1,1,1,1,9.0,1,1,3000.0,1,1,2,0.2,1,24.0,3.75,9.578947368421053
21355,1,1,5,4,4.0,2,2,600.0,1,1,1,0.6,1,24.0,3.75,9.578947368421053
8581,1,7,7,4,2.0,2,2,200.0,1,1,3,0.0,1,24.0,3.75,9.578947368421053
9096,1,1,6,2,3.0,2,2,400.0,1,1,9,0.5158434,1,24.0,3.75,9.578947368421053
22616,8,9,7,8,3.957029177718833,3,3,772.6867469879518,1,1,9,0.5158434,1,20.88481375358166,3.75,9.578947368421053
38126,1,7,5,4,3.0,2,2,200.0,1,1,2,0.2,1,12.0,3.75,9.578947368421053
21932,3,1,3,1,3.0,1,1,1500.0,1,1,2,0.2,1,24.0,3.75,9.578947368421053
9549,2,1,4,1,4.0,1,1,772.6867469879518,1,1,3,0.0,1,24.0,3.75,9.578947368421053
22179,2,1,3,1,5.0,1,1,1500.0,1,1,9,0.5158434,1,24.0,3.75,9.578947368421053
23683,1,1,3,1,8.0,1,1,772.6867469879518,1,1,1,0.6,1,24.0,3.75,9.578947368421053
8643,1,1,5,1,6.0,3,3,200.0,1,1,1,1.0,1,14.0,3.75,9.578947368421053
22300,2,1,1,1,3.0,1,1,772.6867469879518,1,1,9,0.5158434,1,24.0,3.75,9.578947368421053
23243,1,3,5,4,2.0,3,3,350.0,1,1,9,0.5158434,1,24.0,3.75,9.578947368421053
23179,1,7,5,4,1.0,2,2,80.0,1,1,1,0.8,1,24.0,3.75,9.578947368421053
22101,2,1,3,1,4.0,3,3,772.6867469879518,1,1,3,0.0,1,24.0,3.75,9.578947368421053
22723,8,9,7,8,3.957029177718833,3,3,772.6867469879518,1,1,9,0.5158434,1,20.88481375358166,3.75,9.578947368421053
20739,2,1,5,1,4.0,3,3,670.0,2,1,2,0.4,1,24.0,3.75,9.578947368421053
9307,8,9,7,8,3.957029177718833,3,3,772.6867469879518,1,1,9,0.5158434,1,20.88481375358166,3.75,9.578947368421053
21557,1,1,5,1,3.0,2,2,1000.0,1,1,1,0.6,1,21.0,3.75,9.578947368421053
22392,1,1,5,1,3.0,1,1,200.0,1,1,9,0.5158434,1,5.0,3.75,9.578947368421053
38129,1,1,6,6,1.0,2,2,150.0,3,1,2,0.4,1,12.0,3.75,9.578947368421053
9518,1,1,3,2,5.0,3,3,700.0,1,1,3,0.0,1,24.0,3.75,9.578947368421053
8607,1,1,5,1,4.0,1,1,500.0,1,1,1,0.8,1,11.0,3.75,9.578947368421053
23785,1,1,5,4,6.0,2,2,1000.0,2,1,2,0.4,1,10.0,3.75,9.578947368421053
22766,8,9,7,8,3.957029177718833,3,3,772.6867469879518,1,1,9,0.5158434,1,20.88481375358166,3.75,9.578947368421053
23630,1,7,5,4,3.0,2,2,150.0,1,1,1,1.0,1,24.0,3.75,9.578947368421053
23007,8,9,7,8,3.957029177718833,3,3,772.6867469879518,1,1,9,0.5158434,1,20.88481375358166,3.75,9.578947368421053
22303,2,1,1,1,3.0,1,1,772.6867469879518,1,1,2,0.2,1,24.0,3.75,9.578947368421053
40957,1,1,5,1,3.0,1,2,200.0,1,1,1,0.8,2,20.88481375358166,3.0,6.0
22214,8,9,7,8,3.957029177718833,3,3,772.6867469879518,1,1,9,0.5158434,1,20.88481375358166,3.75,9.578947368421053
8552,1,1,5,1,5.0,3,3,500.0,1,1,1,1.0,1,6.0,3.75,9.578947368421053
20060,1,7,5,4,1.0,2,2,150.0,1,1,1,1.0,1,9.0,3.75,9.578947368421053
8863,8,9,7,8,3.957029177718833,3,3,772.6867469879518,1,1,9,0.5158434,1,20.88481375358166,3.75,9.578947368421053
22870,1,1,1,1,5.0,3,3,772.6867469879518,1,1,9,0.5158434,1,24.0,3.75,9.578947368421053
22089,3,1,1,1,4.0,3,3,772.6867469879518,1,1,9,0.5158434,1,24.0,3.75,9.578947368421053
38653,8,9,7,8,3.957029177718833,3,3,772.6867469879518,1,1,9,0.5158434,1,20.88481375358166,3.75,9.578947368421053
8521,1,7,5,4,3.0,2,2,80.0,2,1,9,0.5158434,1,20.88481375358166,3.75,9.578947368421053
20064,1,1,5,1,3.0,2,2,500.0,1,1,1,1.0,1,9.0,3.75,9.578947368421053
23581,1,1,5,1,5.0,1,2,1000.0,3,1,1,1.0,1,12.0,3.75,9.578947368421053
22227,8,9,7,8,3.957029177718833,3,3,772.6867469879518,1,1,9,0.5158434,1,20.88481375358166,3.75,9.578947368421053
8773,1,3,5,4,4.0,2,2,300.0,2,1,1,0.8,1,6.0,3.75,9.578947368421053
22527,2,1,5,1,5.0,1,1,1000.0,1,1,1,0.8,1,24.0,3.75,9.578947368421053
22878,2,1,3,1,4.0,1,1,1300.0,1,1,2,0.2,1,24.0,3.75,9.578947368421053
20742,1,7,6,4,4.0,2,2,300.0,1,2,2,0.2,1,18.0,3.75,9.578947368421053
22946,2,1,2,1,3.0,1,1,1200.0,1,1,3,0.0,1,24.0,3.75,9.578947368421053
22289,4,3,4,5,2.0,1,3,300.0,1,1,2,0.2,1,24.0,3.75,9.578947368421053
40919,1,1,5,1,6.0,2,2,200.0,2,1,3,0.0,1,20.88481375358166,3.75,9.578947368421053
20147,1,1,5,5,4.0,2,2,150.0,2,1,1,0.8,1,24.0,3.75,9.578947368421053
23157,1,3,5,2,5.0,2,2,800.0,1,1,2,0.2,1,24.0,3.75,9.578947368421053
23606,1,1,5,4,5.0,3,3,400.0,1,1,1,0.6,1,24.0,3.75,9.578947368421053
20889,1,1,5,1,5.0,1,1,500.0,1,1,1,0.6,1,24.0,3.75,9.578947368421053
22988,2,1,1,1,5.0,1,1,772.6867469879518,1,1,1,0.6,1,24.0,3.75,9.578947368421053
23324,1,1,5,4,5.0,3,3,772.6867469879518,1,1,1,0.8,1,24.0,3.75,9.578947368421053
21359,1,1,5,4,3.0,2,2,150.0,2,1,1,0.8,1,24.0,3.75,9.578947368421053
9232,2,1,5,1,2.0,3,3,772.6867469879518,1,1,9,0.5158434,1,20.0,3.75,9.578947368421053
9302,1,1,5,1,3.0,2,2,200.0,1,1,1,0.8,1,12.0,3.75,9.578947368421053
21032,1,1,3,1,2.0,3,3,772.6867469879518,1,1,1,1.0,1,12.0,3.75,9.578947368421053
